name,nickname,side,tableNumber,specialMessage,phoneNumber,expectedGuests,group,vip,customGreeting
"Budi Santoso","Budi","groom",1,"Terima kasih sudah menjadi sahabat terbaik!","08123456789",2,"Friends","true","Hai Budi! Kamu adalah sahabat terbaik yang pernah kumiliki."
"Siti Nurhaliza","Siti","bride",2,"Senang sekali kamu bisa datang!","08234567890",3,"Family","true","Hai Tante Siti! Terima kasih sudah menjadi bagian dari keluarga kami."
"Ahmad Fauzi","Ahmad","groom",3,"Teman seperjuangan dari SMA!","08345678901",1,"Friends","false","Bro Ahmad! Akhirnya hari ini tiba juga!"
"Diana Putri","Diana","bride",2,"","08456789012",2,"Colleague","false",""
"Rudi Hermawan","Rudi","groom",4,"","08567890123",4,"Family","true","Om Rudi, terima kasih sudah hadir!"
"Lisa Permata","Lisa","bride",5,"","08678901234",1,"Friends","false",""
"Hendro Wijaya","Hendro","groom",3,"","08789012345",2,"Colleague","false",""
"Maya Sari","Maya","bride",6,"","08890123456",2,"Friends","false",""
"Agus Pratama","Agus","groom",4,"","08901234567",3,"Family","false",""
"Novi Indah","Novi","bride",5,"","08012345678",2,"Friends","false",""
